"DIRECCION GENERAL DE FISCALIAS"
"PRIVACION DE DOMINIO "
"FISCALIA GENERAL              "
"IMPUGNACIONES"
"TALANGA           "
"SAN PEDRO SULA"
"CATAMAS"
"TELA"
"YORO"
"DANLI "
"DEFENSA DE LA CONSTITUCION"
"DELITOS COMUNES   "
"DERECHOS HUMANOS"
"LA CEIBA"
"ETNIAS Y PATRIMONIO CULTURAL"
"GRACIAS LEMPIRA"
"CHOLUTECA"
"JUTICALPA"
"LA ESPERANZA"
"LA PAZ"
"MARCALA"
"MEDIO AMBIENTE"
"PROTECCION AL MENOR Y DISCAPACITADO"
"LA MUJER"
"NACAOME"
"NUEVA ARCADIA"
"OCOTEPEQUE"
"OLANCHITO YORO"
"COMAYAGUA"
"FISCALIA CONTRA LA CORRUPCION "
"SANTA ROSA DE COPAN "
"PROGRESO YORO"
"PROTECCION AL CONSUMIDOR"
"PUERTO CORTES"
"PUERTO LEMPIRA"
"FISCALIA CONTRA EL CRIMEN ORGANIZADO "
"ROATAN "
"SIGUATEPEQUE"
"SANTA BARBARA"
"TOCOA"
"TRUJILLO "
"YUSCARAN          "
"FISCALIA GENERAL ADJUNTA      "
"LUCHA CONTRA EL NARCOTRAFICO "
"LUCHA CONTRA EL NARCOTRAFICO, LA CEIBA"
"LUCHA CONTRA EL NARCOTRAFICO, SPS"
"UNIDAD TECNICA DE REFORMA PENA"
